service_date,day_type,bus,rail_boardings,total_rides
06/01/2012,W,1034827,750848,1785675
11/03/2015,W,987382,830460,1817842
12/25/2017,U,164256,118654,282910
10/28/2007,U,472765,233248,706013
02/13/2003,W,978871,597819,1576690
02/25/2021,W,300304,157867,458171
10/21/2016,W,867704,800137,1667841
07/11/2009,A,733100,422670,1155770
06/10/2024,W,521105,360674,881779
12/02/2014,W,926053,766316,1692369
12/29/2015,W,638221,571322,1209543
08/12/2002,W,908503,579800,1488303
07/20/2024,A,415213,336971,752184
07/17/2024,W,579034,417491,996525
09/13/2016,W,904869,811807,1716676
01/23/2003,W,822317,541015,1363332
07/23/2002,W,955084,623156,1578240
04/18/2015,A,599954,503902,1103856
07/22/2006,A,625346,408434,1033780
04/18/2019,W,654819,675919,1330738
04/29/2005,W,1036716,608264,1644980
08/03/2013,A,667710,574621,1242331
12/05/2010,U,406680,277309,683989
04/06/2013,A,611381,459388,1070769
07/09/2019,W,760765,733255,1494020
02/29/2020,A,458601,337983,796584
10/17/2023,W,587256,440241,1027497
12/29/2021,W,294413,191745,486158
10/28/2004,W,1033261,629827,1663088
